Colección:,Dimensiones:,EAN:,Editorial:,Encuadernación:,Fecha publicación :,ISBN:,Idioma de publicación :,Idioma original :,Ilustrador:,Nº páginas:,País de publicación :,Peso:,Traductor:,autor,materias,titulo,url
ESPASA NARRATIVA, 230 x 150 mm.,9788467061130,Espasa, Tapa blanda o Bolsillo,07-01-2021, 978-84-670-6113-0,Español,Español,,312,España,526 gramos,,,Ficción moderna y contemporanea,Delparaíso,https://www.todostuslibros.com/libros/delparaiso_978-84-670-6113-0
Biblioteca Breve, 230 x 133 mm.,9788432237737,Seix Barral, Tapa blanda o Bolsillo,03-02-2021, 978-84-322-3773-7,Español,Español,,320,España,426 gramos,,,Ficción moderna y contemporanea,Llévame a casa,https://www.todostuslibros.com/libros/llevame-a-casa_978-84-322-3773-7
Titania época, 225 x 150 mm.,9788416327812,Titania, Tapa blanda o Bolsillo,07-01-2020, 978-84-16327-81-2,Español,Inglés,,320,España,416 gramos,"Terés Loriente, Mireia",,Narrativa romántica histórica,El duque y yo (Bridgerton 1),https://www.todostuslibros.com/libros/el-duque-y-yo-bridgerton-1_978-84-16327-81-2
Panorama de narrativas, 22 x 14 mm.,9788433980878,Editorial Anagrama, Tapa blanda o Bolsillo,03-03-2021, 978-84-339-8087-8,Español,Inglés,,384,España,445 gramos,"Bach, Mauricio",,Ficción moderna y contemporanea,Klara y el sol,https://www.todostuslibros.com/libros/klara-y-el-sol_978-84-339-8087-8
NF Novela, 200 x 130 mm.,9788423358687,Booket, Tapa blanda o Bolsillo,13-01-2021, 978-84-233-5868-7,Español,Español,,304,España,218 gramos,,,Ficción moderna y contemporanea,Los privilegios del ángel,https://www.todostuslibros.com/libros/los-privilegios-del-angel_978-84-233-5868-7
Autores Españoles e Iberoamericanos, 230 x 150 mm.,9788408235514,Editorial Planeta, Cartoné,05-11-2020, 978-84-08-23551-4,Español,Español,,416,España,612 gramos,,Premio Planeta 2020,Obra de misterio y suspense,Aquitania,https://www.todostuslibros.com/libros/aquitania_978-84-08-23551-4
BIENESTAR, 230 x 125 mm.,9788418524004,Kitsune Books, Tapa blanda o Bolsillo,22-02-2021, 978-84-18524-00-4,Español,Japonés,,96,España,220 gramos,"Morinaga, Makoto",Ponte en forma y consigue una figura de ensueño con el revolucionario método de la pelota de tenis,Forma física y alimentación,Adelgaza con Kaoru,https://www.todostuslibros.com/libros/adelgaza-con-kaoru_978-84-18524-00-4
Libros del Asteroide, 215 x 140 mm.,9788417977580,Libros del Asteroide, Tapa blanda o Bolsillo,22-02-2021, 978-84-17977-58-0,Español,Inglés,,352,España,460 gramos,"Cardeñoso, Concha",,Ficción histórica,Hamnet,https://www.todostuslibros.com/libros/hamnet_978-84-17977-58-0
NF Novela, 200 x 130 mm.,9788408237969,Booket, Tapa blanda o Bolsillo,17-02-2021, 978-84-08-23796-9,Español,Español,,384,España,,,,Ficción moderna y contemporanea,Terra Alta,https://www.todostuslibros.com/libros/terra-alta_978-84-08-23796-9
Amanda Black, 216 x 150 mm.,9788417921378,B de Blok (Ediciones B), Cartoné,11-02-2021, 978-84-17921-37-8,Español,Español,"FORÉS, David G.",192,España,,,,Thriller (infantil/juvenil),Una herencia peligrosa (Amanda Black 1),https://www.todostuslibros.com/libros/una-herencia-peligrosa-amanda-black-1_978-84-17921-37-8
Narrativa, 230 x 155 mm.,9788418107597,SALAMANDRA, Tapa blanda o Bolsillo,04-03-2021, 978-84-18107-59-7,Español,Sueco,,512,España,750 gramos,,,Ficción histórica,1794,https://www.todostuslibros.com/libros/1794_978-84-18107-59-7
Narrativas hispánicas, 22 x 14 mm.,9788433999030,Editorial Anagrama, Tapa blanda o Bolsillo,02-09-2020, 978-84-339-9903-0,Español,Español,,192,España,268 gramos,,,Obra de misterio y suspense,Un amor,https://www.todostuslibros.com/libros/un-amor_978-84-339-9903-0
ANTOINE DE SAINT-EXUPÉRY, 180 x 113 mm.,9788498381498,Salamandra Infantil y Juvenil, Tapa blanda o Bolsillo,15-01-2008, 978-84-9838-149-8,Español,Francés,"Saint-Exupéry, Antoine de",96,España,146 gramos,"CARRIL, BONIFACIO DEL",,Cuestiones personales y sociales: autoconocimiento y autoestima (infantil/juvenil),El Principito,https://www.todostuslibros.com/libros/el-principito_978-84-9838-149-8
LA TRAMA, 238 x 162 mm.,9788466668545,B (Ediciones B), Cartoné,05-11-2020, 978-84-666-6854-5,Español,Español,,528,España,900 gramos,,,Obra de misterio y suspense,Rey blanco,https://www.todostuslibros.com/libros/rey-blanco_978-84-666-6854-5
La trama, 237 x 161 mm.,9788466664417,B (Ediciones B), Cartoné,08-11-2018, 978-84-666-6441-7,Español,Español,,568,España,820 gramos,Francisco Ferriz Blanquer;,,Género policíaco y misterio,Reina roja,https://www.todostuslibros.com/libros/reina-roja_978-84-666-6441-7
Áncora & Delfín, 230 x 133 mm.,9788423358779,Ediciones Destino, Cartoné,10-02-2021, 978-84-233-5877-9,Español,Español,,304,España,536 gramos,,Premio Nadal de Novela 2021,Ficción moderna y contemporanea,El lunes nos querrán,https://www.todostuslibros.com/libros/el-lunes-nos-querran_978-84-233-5877-9
HISPÁNICA, 248 x 162 mm.,9788420454665,ALFAGUARA, Cartoné,06-10-2020, 978-84-204-5466-5,Español,Español,,688,España,1127 gramos,,,Ficción histórica,Línea de fuego,https://www.todostuslibros.com/libros/linea-de-fuego_978-84-204-5466-5
Comisario Montalbano, 220 x 140 mm.,9788418107573,SALAMANDRA, Tapa blanda o Bolsillo,11-03-2021, 978-84-18107-57-3,Español,Italiano,,272,España,,"Mayor, Carlos",,Sicilia,La red de protección (Comisario Montalbano 30),https://www.todostuslibros.com/libros/la-red-de-proteccion-comisario-montalbano-30_978-84-18107-57-3
ANAYA E.L.E. EN - DIGITAL, 239 x 156 mm.,9788420454320,ALFAGUARA, Tapa blanda o Bolsillo,04-02-2021, 978-84-204-5432-0,Español,Español,,208,España,320 gramos,,,Ficción moderna y contemporanea,Miss Marte,https://www.todostuslibros.com/libros/miss-marte_978-84-204-5432-0
Titania época, 225 x 150 mm.,9788416327829,Titania, Tapa blanda o Bolsillo,07-01-2020, 978-84-16327-82-9,Español,Inglés,,352,España,454 gramos,"Arruti Illarramendi, Rosa",,Narrativa romántica histórica,El vizconde que me amó (Bridgerton 2),https://www.todostuslibros.com/libros/el-vizconde-que-me-amo-bridgerton-2_978-84-16327-82-9
Narrativa, 220 x 145 mm.,9788418526138,Galaxia Gutenberg, Cartoné,10-02-2021, 978-84-18526-13-8,Español,Español,,576,España,590 gramos,,Una lectura mística del evangelio,Ficción moderna y contemporanea,Biografía de la luz,https://www.todostuslibros.com/libros/biografia-de-la-luz_978-84-18526-13-8
Panorama de narrativas, 22 x 14 mm.,9788433980847,Editorial Anagrama, Tapa blanda o Bolsillo,24-02-2021, 978-84-339-8084-7,Español,Francés,,336,España,440 gramos,"Zulaika, Jaime",,Historias reales,Yoga,https://www.todostuslibros.com/libros/yoga_978-84-339-8084-7
Moderna de pueblo, 230 x 170 mm.,9788408233459,Zenith, Tapa blanda o Bolsillo,24-11-2020, 978-84-08-23345-9,Español,Español,"MODERNA DE PUEBLO (CÓRCOLES, R",312,España,978 gramos,,,Feminismo y teoría feminista,Coñodramas,https://www.todostuslibros.com/libros/conodramas_978-84-08-23345-9
NOVELA GRAFICA, 255 x 183 mm.,9788413415123,Planeta Cómic, Cartoné,17-02-2021, 978-84-1341-512-3,Español,Español,,144,España,594 gramos,,Una antología,Novelas gráficas: historias reales y no ficción,Voces que cuentan (novela gráfica),https://www.todostuslibros.com/libros/voces-que-cuentan-novela-grafica_978-84-1341-512-3
Narrativa, 230 x 155 mm.,9788418107252,SALAMANDRA, Tapa blanda o Bolsillo,14-01-2021, 978-84-18107-25-2,Español,Inglés,,656,España,,,,Género policíaco y misterio,Seis Cuatro,https://www.todostuslibros.com/libros/seis-cuatro_978-84-18107-25-2
Alimentación saludable, 209 x 174 mm.,9788417752927,GRIJALBO ILUSTRADOS, Tapa blanda o Bolsillo,08-10-2020, 978-84-17752-92-7,Español,Español,,272,España,,,"El intestino, nuestro segundo cerebro","Terapias complementarias, curación y salud",Dime qué comes y te diré qué bacterias tienes,https://www.todostuslibros.com/libros/dime-que-comes-y-te-dire-que-bacterias-tienes_978-84-17752-92-7
EDICIONES B, 239 x 163 mm.,9788466666497,B (Ediciones B), Cartoné,24-10-2019, 978-84-666-6649-7,Español,Español,,552,España,800 gramos,,,Obra de misterio y suspense,Loba negra,https://www.todostuslibros.com/libros/loba-negra_978-84-666-6649-7
Autores Españoles e Iberoamericanos, 230 x 150 mm.,9788408235521,Editorial Planeta, Cartoné,05-11-2020, 978-84-08-23552-1,Español,Español,,576,España,782 gramos,,Finalista Premio Planeta 2020,Ficción moderna y contemporanea,Un océano para llegar a ti,https://www.todostuslibros.com/libros/un-oceano-para-llegar-a-ti_978-84-08-23552-1
Los Tres Mundos, 210 x 133 mm.,9788432237720,Seix Barral, Tapa blanda o Bolsillo,10-02-2021, 978-84-322-3772-0,Español,Inglés,,200,España,284 gramos,"Sastre, Elvira",,Poesía de poetas individuales,todo lo que necesito existe ya en mí,https://www.todostuslibros.com/libros/todo-lo-que-necesito-existe-ya-en-mi_978-84-322-3772-0
PYJ, 231 x 153 mm.,9788401025655,PLAZA & JANES, Tapa blanda o Bolsillo,14-01-2021, 978-84-01-02565-5,Español,Español,,464,España,,,,Género policíaco y misterio,La hora de las gaviotas,https://www.todostuslibros.com/libros/la-hora-de-las-gaviotas_978-84-01-02565-5
Autores Españoles e Iberoamericanos, 230 x 150 mm.,9788408229834,Editorial Planeta, Cartoné,03-02-2021, 978-84-08-22983-4,Español,Español,,624,España,834 gramos,,,Ficción histórica,La reina sola,https://www.todostuslibros.com/libros/la-reina-sola_978-84-08-22983-4
ALFAGUARA, 240 x 154 mm.,9788420439655,ALFAGUARA, Tapa blanda o Bolsillo,23-09-2020, 978-84-204-3965-5,Español,Español,,224,España,120 gramos,,,Antropología,La vida contada por un sapiens a un neandertal,https://www.todostuslibros.com/libros/la-vida-contada-por-un-sapiens-a-un-neandertal_978-84-204-3965-5
Sin colección, 213 x 135 mm.,9788413440682,Alienta Editorial, Tapa blanda o Bolsillo,03-03-2021, 978-84-1344-068-2,Español,Español,,368,España,338 gramos,,Descubre cómo tu salud depende de los billones de microorganismos que habitan en tu cuerpo,Familia y Salud,"¡Es la microbiota, idiota!",https://www.todostuslibros.com/libros/es-la-microbiota-idiota_978-84-1344-068-2
F. COLECCION, 230 x 150 mm.,9788467060294,Espasa, Tapa blanda o Bolsillo,20-10-2020, 978-84-670-6029-4,Español,Español,,232,España,428 gramos,,Premio Espasa 2020,Artes,Emocionarte. La doble vida de los cuadros,https://www.todostuslibros.com/libros/emocionarte-la-doble-vida-de-los-cuadros_978-84-670-6029-4
BEST-SELLER;FICCION, 190 x 125 mm.,9788417821807,Roca Bolsillo, Tapa blanda o Bolsillo,11-03-2021, 978-84-17821-80-7,Español,Español,,224,España,,"Garza, Lorenzo",,Género policíaco y misterio,Arsène Lupin. Caballero ladrón,https://www.todostuslibros.com/libros/arsene-lupin-caballero-ladron_978-84-17821-80-7
DEBATE, 229 x 155 mm.,9788499926223,DEBATE, Tapa blanda o Bolsillo,07-10-2015, 978-84-9992-622-3,Español,Hebreo,,496,España,640 gramos,Joandomènec Ros i Aragonès;,Breve historia de la humanidad,Historia general y mundial,Sapiens. De animales a dioses,https://www.todostuslibros.com/libros/sapiens-de-animales-a-dioses_978-84-9992-622-3
HISPANICA, 238 x 153 mm.,9788420426402,ALFAGUARA, Tapa blanda o Bolsillo,05-10-2017, 978-84-204-2640-2,Español,Español,,328,España,600 gramos,,,Crímenes reales,El olvido que seremos,https://www.todostuslibros.com/libros/el-olvido-que-seremos_978-84-204-2640-2
EXITOS, 231 x 152 mm.,9788401024832,PLAZA & JANES, Tapa blanda o Bolsillo,04-03-2021, 978-84-01-02483-2,Español,Alemán,ANA GUELBENZU DE SAN EUSTAQUIO;MATEO PIERRE AVIT FERRERO;,512,España,,Ana Guelbenzu de San Eustaquio;Mateo Pierre Avit Ferrero;,,Narrativa romántica histórica,La mansión. Tiempo de resurgir,https://www.todostuslibros.com/libros/la-mansion-tiempo-de-resurgir_978-84-01-02483-2
ALIANZA DE NOVELAS, 235 x 165 mm.,9788413622132,Alianza Editorial, Cartoné,04-03-2021, 978-84-1362-213-2,Español,Inglés,,392,España,518 gramos,"Pallarés Sanmiguel, José Miguel",,Ficción moderna y contemporanea,La canción de Aquiles (AdN),https://www.todostuslibros.com/libros/la-cancion-de-aquiles-adn_978-84-1362-213-2
Áncora & Delfín, 230 x 133 mm.,9788423359165,Ediciones Destino, Tapa blanda o Bolsillo,10-03-2021, 978-84-233-5916-5,Español,Español,,416,España,538 gramos,,,Obra de misterio y suspense,El hijo del padre,https://www.todostuslibros.com/libros/el-hijo-del-padre_978-84-233-5916-5
Contrastes, 230 x 155 mm.,9788491992769,Editorial Crítica, Cartoné,10-03-2021, 978-84-9199-276-9,Español,Español,,576,España,1003 gramos,,Entre el ruido de sables y la ineficacia del Gobierno,Historia militar,El gran error de la República,https://www.todostuslibros.com/libros/el-gran-error-de-la-republica_978-84-9199-276-9
Llibres Anagrama, 22 x 14 mm.,9788433915689,Editorial Anagrama, Tapa blanda o Bolsillo,08-05-2019, 978-84-339-1568-9,Español,Catalán,,192,España,262 gramos,,,Ficción moderna y contemporanea,Canto jo i la muntanya balla,https://www.todostuslibros.com/libros/canto-jo-i-la-muntanya-balla_978-84-339-1568-9
Narrativas hispánicas, 22 x 14 mm.,9788433999153,Editorial Anagrama, Tapa blanda o Bolsillo,10-02-2021, 978-84-339-9915-3,Español,Español,,176,España,219 gramos,,,Ficción moderna y contemporanea,Gema,https://www.todostuslibros.com/libros/gema_978-84-339-9915-3
Caja Baja, 210 x 140 mm.,9788417496494,La Caja Books, Tapa blanda o Bolsillo,03-03-2021, 978-84-17496-49-4,Español,Español,,200,España,455 gramos,,Sexo y género entre la izquierda y lo identitario,EUROPA,Después de lo trans,https://www.todostuslibros.com/libros/despues-de-lo-trans_978-84-17496-49-4
4You2, 230 x 150 mm.,9788427047945,Ediciones Martínez Roca, Cartoné,29-10-2020, 978-84-270-4794-5,Español,Español,,240,España,416 gramos,,,Edad de interés: a partir de 10 años,Los Compas y el diamantito legendario (nueva presentación),https://www.todostuslibros.com/libros/los-compas-y-el-diamantito-legendario-nueva-presentacion_978-84-270-4794-5
Best Seller, 190 x 128 mm.,9788466354813,DEBOLSILLO, Tapa blanda o Bolsillo,18-02-2021, 978-84-663-5481-3,Español,Español,,640,España,,,,Narrativa romántica adulta y contemporánea,Un cuento perfecto,https://www.todostuslibros.com/libros/un-cuento-perfecto_978-84-663-5481-3
EXITOS, 237 x 164 mm.,9788401022876,PLAZA & JANES, Cartoné,15-09-2020, 978-84-01-02287-6,Español,Inglés,,936,España,985 gramos,"VERÓNICA CANALES MEDINA, LAURA",,Ficción moderna y contemporanea,Las tinieblas y el alba (La precuela de Los pilares de la Tierra),https://www.todostuslibros.com/libros/las-tinieblas-y-el-alba-la-precuela-de-los-pilares-de-la-tierra_978-84-01-02287-6
4You2, 230 x 150 mm.,9788427047495,Ediciones Martínez Roca, Cartoné,29-10-2020, 978-84-270-4749-5,Español,Español,,224,España,740 gramos,,,Edad de interés: a partir de 10 años,Los Compas y la maldición de Mikecrack,https://www.todostuslibros.com/libros/los-compas-y-la-maldicion-de-mikecrack_978-84-270-4749-5
Imago Mundi, 227 x 160 mm.,9788423358199,Ediciones Destino, Cartoné,15-10-2020, 978-84-233-5819-9,Español,Español,,560,España,1057 gramos,,,Biografía: literaria,Madrid,https://www.todostuslibros.com/libros/madrid_978-84-233-5819-9
, 216 x 141 mm.,9788425432026,Herder Editorial, Tapa blanda o Bolsillo,04-12-2015, 978-84-254-3202-6,Español,Alemán,,168,España,228 gramos,COMITÉ DE TRADUCCIÓN AL ESPAÑO,,Español / Castellano,El hombre en busca de sentido,https://www.todostuslibros.com/libros/el-hombre-en-busca-de-sentido_978-84-254-3202-6
Nefelibata, 215 x 140 mm.,9788417761417,Duomo ediciones, Tapa blanda o Bolsillo,01-02-2021, 978-84-17761-41-7,Español,Español,,368,España,470 gramos,"Estrella, Juanjo",,Ficción moderna y contemporanea,Luz de febrero,https://www.todostuslibros.com/libros/luz-de-febrero_978-84-17761-41-7
ESFERA, 240 x 160 mm.,9788413840147,LA ESFERA DE LOS LIBROS, Tapa blanda o Bolsillo,17-02-2021, 978-84-1384-014-7,Español,Español,,336,España,400 gramos,,35 razones para estar orgulloso de la Historia de España,España,No te arrepientas,https://www.todostuslibros.com/libros/no-te-arrepientas_978-84-1384-014-7
Biblioteca Breve, 230 x 133 mm.,9788432237911,Seix Barral, Tapa blanda o Bolsillo,10-03-2021, 978-84-322-3791-1,Español,Español,,392,España,506 gramos,,,Ficción moderna y contemporanea,Trigo limpio,https://www.todostuslibros.com/libros/trigo-limpio_978-84-322-3791-1
Titania época, 225 x 150 mm.,9788416327843,Titania, Tapa blanda o Bolsillo,11-02-2020, 978-84-16327-84-3,Español,Inglés,,352,España,460 gramos,DESCONOCIDO,,Narrativa romántica histórica,Te doy mi corazón (Bridgerton 3),https://www.todostuslibros.com/libros/te-doy-mi-corazon-bridgerton-3_978-84-16327-84-3
Autores Españoles e Iberoamericanos, 230 x 150 mm.,9788408235002,Editorial Planeta, Cartoné,17-11-2020, 978-84-08-23500-2,Español,Español,,224,España,406 gramos,,,Ficción moderna y contemporanea,La Ciudad de Vapor,https://www.todostuslibros.com/libros/la-ciudad-de-vapor_978-84-08-23500-2
Biblioteca Formentor, 230 x 133 mm.,9788432237867,Seix Barral, Tapa blanda o Bolsillo,03-03-2021, 978-84-322-3786-7,Español,Francés,"GONZÁLEZ-GALLARZA, ISABEL",192,España,328 gramos,"González-Gallarza, Isabel",,Ficción moderna y contemporanea,Una rosa sola,https://www.todostuslibros.com/libros/una-rosa-sola_978-84-322-3786-7
Hisp?nica, 240 x 154 mm.,9788420439457,ALFAGUARA, Tapa blanda o Bolsillo,27-08-2020, 978-84-204-3945-7,Español,Español,,328,España,420 gramos,,,Siglo xx,La buena suerte,https://www.todostuslibros.com/libros/la-buena-suerte_978-84-204-3945-7
Editora por un libro, 210 x 140 mm.,9788412135336,Editorial Barrett, Tapa blanda o Bolsillo,15-04-2020, 978-84-121353-3-6,Español,Español,"Sanguinetti, Alessandra",176,España,190 gramos,,,Ficción moderna y contemporanea,Panza de burro,https://www.todostuslibros.com/libros/panza-de-burro_978-84-121353-3-6
NO FICCIÓN, 230 x 150 mm.,9788467060287,Espasa, Cartoné,10-02-2021, 978-84-670-6028-7,Español,Español,,400,España,590 gramos,,Los amores de los reyes que cambiaron la Historia de España,Historia de otras regiones,Pasiones carnales,https://www.todostuslibros.com/libros/pasiones-carnales_978-84-670-6028-7
Isadora Moon, 201 x 140 mm.,9788420453712,ALFAGUARA, Tapa blanda o Bolsillo,04-02-2021, 978-84-204-5371-2,Español,Inglés,,128,España,,Vanesa Pérez-Sauquillo Muñoz;,,Relatos sobre la familia y el hogar (infantil/juvenil),Isadora Moon y el hada de los dientes (Isadora Moon 10),https://www.todostuslibros.com/libros/isadora-moon-y-el-hada-de-los-dientes-isadora-moon-10_978-84-204-5371-2
El Acantilado, 210 x 131 mm.,9788418370311,Acantilado, Libro,22-02-2021, 978-84-18370-31-1,Español,Español,,176,España,232 gramos,,Una antropología de la herida infinita,Filosofía,"Humano, más humano",https://www.todostuslibros.com/libros/humano-mas-humano_978-84-18370-31-1
ESPASA NARRATIVA, 230 x 150 mm.,9788467060270,Espasa, Cartoné,19-11-2020, 978-84-670-6027-0,Español,Español,,496,España,712 gramos,,,Aventura histórica,La leyenda de la Peregrina,https://www.todostuslibros.com/libros/la-leyenda-de-la-peregrina_978-84-670-6027-0
F. COLECCION, 235 x 225 mm.,9788467060904,Espasa, Tapa blanda o Bolsillo,20-01-2021, 978-84-670-6090-4,Español,Español,,176,España,646 gramos,,Con los patrones desplegables del programa,"ESTILO DE VIDA, DEPORTE Y OCIO",Hazlo tú mismo con Maestros de la costura,https://www.todostuslibros.com/libros/hazlo-tu-mismo-con-maestros-de-la-costura_978-84-670-6090-4
Perenne, 210 x 145 mm.,9788484452065,Gaia Ediciones, Tapa blanda o Bolsillo,01-09-2007, 978-84-8445-206-5,Español,Inglés,,220,España,450 gramos,"Iribarren Berrade, Miguel",Una guía para la iluminación espiritual,"Mente, cuerpo y espíritu: pensamiento y práctica",El poder del ahora,https://www.todostuslibros.com/libros/el-poder-del-ahora_978-84-8445-206-5
DIVULGACION, 190 x 125 mm.,9788408193760,Booket, Tapa blanda o Bolsillo,06-09-2018, 978-84-08-19376-0,Español,Español,,352,España,242 gramos,,... y sigo soñando,Autobiografía: arte y espectáculo,50 palos,https://www.todostuslibros.com/libros/50-palos_978-84-08-19376-0
Trono de cristal, 220 x 150 mm.,9788418359293,Editorial Hidra, Libro,01-03-2021, 978-84-18359-29-3,Español,Inglés,,512,España,450 gramos,,,Fantasía y realismo mágico (infantil/juvenil),Corona de medianoche,https://www.todostuslibros.com/libros/corona-de-medianoche_978-84-18359-29-3
Anna Kadabra, 200 x 140 mm.,9788408223238,Destino Infantil & Juvenil, Tapa blanda o Bolsillo,11-02-2020, 978-84-08-22323-8,Español,Español,"Sierra Listón, David",128,España,284 gramos,,,Libros de cuentos ilustrados,Anna Kadabra 1. El Club de la Luna Llena,https://www.todostuslibros.com/libros/anna-kadabra-1-el-club-de-la-luna-llena_978-84-08-22323-8
Biblioteca Vonnegut, 210 x 140 mm.,9788418187742,Blackie Books, Cartoné,03-03-2021, 978-84-18187-74-2,Español,Inglés,"Medem, María",216,España,300 gramos,"Temprano García, Miguel",La cruzada de los niños,Ficción moderna y contemporanea,Matadero cinco,https://www.todostuslibros.com/libros/matadero-cinco_978-84-18187-74-2
Infantil y Juvenil, 215 x 140 mm.,9788418538506,Duomo Ediciones, Cartoné,10-02-2021, 978-84-18538-50-6,Español,Inglés,"COUSO, ZULEMA; PROMETEO MOYA, ANTONIO",224,España,,"Couso, Zulema",Nueva edición con motivo de la exitosa serie de Netflix,Ficción moderna y contemporanea,"Arsène Lupin, caballero ladrón",https://www.todostuslibros.com/libros/arsene-lupin-caballero-ladron_978-84-18538-50-6
ESPASA NARRATIVA, 190 x 125 mm.,9788467061079,Espasa, Cartoné,10-03-2021, 978-84-670-6107-9,Español,Español,,224,España,378 gramos,,,Ficción moderna y contemporanea,El chisme,https://www.todostuslibros.com/libros/el-chisme_978-84-670-6107-9
Espasa Narrativa, 230 x 150 mm.,9788467060225,Espasa, Tapa blanda o Bolsillo,08-09-2020, 978-84-670-6022-5,Español,Inglés,,464,España,518 gramos,"Conde Fisas, Claudia",,Género policíaco y misterio,El Club del Crimen de los Jueves,https://www.todostuslibros.com/libros/el-club-del-crimen-de-los-jueves_978-84-670-6022-5
LUMEN GRAFICA, 231 x 153 mm.,9788426407658,LUMEN, Tapa blanda o Bolsillo,11-03-2021, 978-84-264-0765-8,Español,Español,,216,España,530 gramos,,,Cambio climático,Lola Vendetta. Una habitación propia con wifi,https://www.todostuslibros.com/libros/lola-vendetta-una-habitacion-propia-con-wifi_978-84-264-0765-8
